Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Clubhouse,Aircon,Closet,Water Feature,Greenery View,Parking,Fridge,Bed,Lounge,Swimming Pool,Wading Pool,Playground,Fitness Corner,Dining Room Furniture,High Floor,Security,Fibre Ready,Gym,BBQ",968 sqft (built up),"Greetings to All
~~NeW LisTinG~~
@ Landlord&#39;s agent 
@ Spacious 2 bedders 968sqf 
@ Well kept n nice furnishing 
@ Low rise Boutique development 39 units
@ NS facing. Greenery view.
@ Serene n breezy
@ Conveniently located 
- Near Haw Par Villa MRT CC25.
- Near Kent Ridge Park, West Coast Park
- Proximity to NUS
Available 4 Feb19.
Kindly contact HaPPy BooN for viewings please.

Best Regards
Boon Ng
My Credentials:
PropNex Top 5 Rental Transactors Awards Apr17, Oct17
PropNex Prestigious Platinum Award Oct17
PropNex Top 24th Jul Producer Award18
PropNex Top 66th 3 Quarter Producer Award 2018
TOP 200-300 Achievers Awards 2012-2015
Asia Pacific ELITE Awards Winners 2012-2015
Dedication n Sincerity iS WhaT I CaN ProMiSe",D05,All races welcome,,,Fully Furnished,,Flexible,Ventana,2 Baths,2 Beds,,S$3.31 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/ventana-condo-WjQBjT5GUkWTguLSiV3odE
"Stove,Fridge,Meeting Room,Spa Pavilion,Hammocks,Tennis Court,Oven,Outdoor Dining,Balcony,Renovated,Aircon,Greenery View,Open Terrace,Lounge,Wading Pool,Spa Pool,Playground,Fitness Corner,High Floor,Washer,Bathtub,Lap Pool,Gym,BBQ",614 sqft (built up),"The Tennery,
1 Bedroom, 614sf
High Floor, #12
Nice Unit.

CHOICE STACK !! 
GOOD PRIVACY !!
BALCONY FAR FROM BOTH NEIGHBORS !
UNBLOCKED GREENERY VIEW !!!
BRIGHT, WINDY.
NO WEST SUN.
3 TO 5 MIN MRT !
VERY GOOD AMENITIES !
MUST VIEW !!

Call Now for Viewing. Welcome Agents.",D23,,South,,Partially Furnished,,Flexible,The Tennery,1 Bath,1 Bed,Not Allowed,S$3.26 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/the-tennery-condo-Kgg2LDAdG6GST3x5aDCUvV
"Clubhouse,Gym,Parking,Timber Deck,Fridge,Sauna,Dryer,Tennis Court,Oven,High Floor,Security,Fun Pool,Fibre Ready,Aircon,TV,Bed,Swimming Pool,Wading Pool,Playground,Dining Room Furniture,Washer,Bathtub,BBQ","1,152 sqft (built up)","Greetings to All
***New Aircons***
@ LANDLORD's Agent
@ Conveniently located opposite HOUGANG 1 Mall
@ High floor 
@ Spacious 1152sqf 3+1
@ Renovated unit
@ Bright and Windy
@ New coat of paint
@ Available Immediate!
@ One more unit available early Dec18 high floor pool facing.
Kindly Call/SMS/Whatsapp HaPPy BooN for viewing. Anytime!

*** Dearest SELLERS/LANDLORDS,
If you are looking for a Dedicated n Self-Driven Full-time agent, Try Boon! My Aim is to provide You a Better Service that You Deserve. Thank You***

Best Regards
Boon Ng
Associate Division Director
PropNex Top 5 Rental Transactors Awards Apr'17, Oct'17
PropNex Platinum Award Oct'17
ERA Top Achiever Awards 
Top 200- Year 2012, 2013, 2014
Top 300- Year 2015
ERA Asia Pacific ELITE Award Winners 2012, 2013, 2014, 2015.
Dedication and Sincerity iS WhaT I CaN ProMiSe.",D19,,,,Fully Furnished,Yes,Flexible,Regentville,3 Baths,3 Beds,,S$2.47 psf,"S$2,850/mo",https://www.99.co/singapore/rent/property/regentville-condo-rseHEb6WLu6fCE4UdgRr5T
"Clubhouse,Water Feature,Stove,Fridge,Sauna,Low Floor,Waterfall,Tennis Court,Parking,Karaoke,Games Room,Fun Pool,Fibre Ready,Pavilion,Renovated,Aircon,Greenery View,Wading Pool,Swimming Pool,Utility Room,Jacuzzi,Playground,Fitness Corner,Security,Bathtub,Gym,BBQ","1,119 sqft (built up)","Just Renovated
New Aircon System in Bedrooms
Fresh coats of paint
Partially Furnished
Facing greenery
Near Bukit Batok MRT, Nature Park
Available mid Feb 2019
Pls contact Vincent@96834338 for viewing",D23,All races welcome,East,,Partially Furnished,,Flexible,Parkview Apartments,3 Baths,3 Beds,,S$2.32 psf,"S$2,600/mo",https://www.99.co/singapore/rent/property/parkview-apartments-condo-FW8DyWVHbPYzYwzYxZAWz3
"Renovated,Aircon",721 sqft (built up),"3 Rm Corner Flat for Rent by Steven Chua @ +6594783606 !

Blk 704 West Coast Road

Available from April 2019 (Earlier start lease date can be discussed)

High Floor
1 Bedroom (converted from 2 bedrooms)
Attached toilet in the bedroom
2 Toilets
Fully Furnished
Like new flat
Love at first sight
Nice Chinese Landlord

Convenient accessibility to Clementi MRT, Bus Stops, Town / Central, Shopping Centre, Amenities, Swimming Complex, etc",D05,All races welcome,,,Fully Furnished,Yes,Flexible,704 West Coast Road,2 Baths,1 Bed,Not Allowed,S$2.77 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/704-west-coast-road-hdb-zwjF4MTChKwca58ce9j6jZ
"Basketball Court,Aircon,Gym,Wading Pool,Utility Room,Jacuzzi,Steam Room,Playground,Fitness Corner,Parking,Security,Tennis Court","1,453 sqft (built up)","2 Bedroom + Utility Unit For Rent by Steven Chua @ +65 94783606 !

** Do contact me for an exclusive price discussion.

The Unit:
- Good sized bedrooms
- Spacious and Good Sized Living and Dining areas
- Bright, Windy and Serene environment
- Partial Furnished (Full Furnishing can be discussed)
- Renovated, Clean and Well Maintained
- Move-in Condition

Full Condo Facilities.

Located Beside AMK Hub.
Stone's throw to Ang Mo Kio MRT Station.
Easy access to Expressways (CTE / TPE / SLE / PIE)

You can find eateries, retail outlets, supermarkets, banks, and other amenities within short walking distance.

Your Preferred Residential Agent
Steven Chua
Branch Division Director
ERA Realty Network Pte Ltd
Mobile: +65 94783606
R043098Z",D20,All races welcome,,,Partially Furnished,Yes,Flexible,Centro Residences,2 Baths,2 Beds,Allowed,S$2.75 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/centro-residences-condo-FsBvb9CLU6scfpCVRNEtYg
"Fibre Ready,Renovated,Aircon","1,600 sqft (built up)","Well Maintained 2-Storey Semi Detached House for Rent by Steven Chua @ +65 94783606 !

Jalan Rabu ! Available Immediately !

Short distance walk to Thomson Plaza, Thomson V, Shophouses or Businesses, Retail and Eateries !

* Situated in a serene environment
* Near Macritchie Reservoir
* Easy access to Upper Thomson Road, Marymount Road, Expressway and Bus Stops

(Feel free to contact me for an exclusive price discussion)

The Property:
* Bright, Windy, Cosy and Well maintained
* Level 1 has a Spacious Guest Room, Functional layout of Hall, Dining and Kitchen Areas, as well as a Bathroom in the Kitchen
* Level 2 have 3 Bedrooms (1 Bedroom Ensuite, and another Bathroom shared by the 2 Bedrooms)
* Airconditions in the whole unit
* Regular plot of land; Wide Frontage
* Offers good space for parking a few Cars

Your Preferred Residential Agent
Steven Chua
Branch Division Director
ERA Realty Network Pte Ltd
Mobile: +65 94783606
R043098Z",D20,All races welcome,,,,Yes,Flexible,Thomson Garden Estate,3 Baths,4 Beds,Allowed,S$3.12 psf,"S$5,000/mo",https://www.99.co/singapore/rent/property/jalan-rabu-landed-NPrByDTgWQbXK5wPb8BcTE
"Penthouse,Bomb Shelter,Renovated,Aircon,High Ceiling,Greenery View,Parking,Swimming Pool,Playground,Top Floor,High Floor,Security,Fibre Ready,Lap Pool,Gym,BBQ,Balcony","1,593 sqft (built up)","D15 - SPRING @ KATONG 3 Bedroom Penthouse unit for RENT
Excellent Prime Residential Location within Katong!
- 3 Bedroom / 3 Bathroom + Balcony
- Peaceful Environment, Bright and Clean
- Renovated / Move-in condition
- Duplex Penthouse
- 1,593 sqft
- Partially-Furnished
- Facilities: 24 hours security, fun pool, swimming pool, lap pool, BBQ pits, gym, and playground
- Several feeder bus services are available near
- Nearest MRT Station: EW7 Eunos MRT Stn (19min - 1.58km), CC8 Dakota MRT Stn (20mins - 1.69km), EW8 Paya Lebar MRT Stn (21mins - 1.79km)
- Nearest Schools: Tanjong Katong Pri Sch (4mins - 0.35km), Sam Kiang Sch (6mins - 0.51km), Chatsworth International Sch (7mins - 0.56km)
- Loads of Amenities, Restaurants, and Eateries, Several Shopping Malls within Walking Distance
- Total number of Units: 52
- AVAILABLE IMMEDIATE

Asking $4,000/- Nego

Ken Ong
91916171 

CEA Reg.: R052045H
Email: kenongpropnex@gmail.com
Website: http://www.kenongrealty.com
Facebook: goo.gl/Ei9AXX
Linkedin: goo.gl/UvRxfw",D15,,North East,,Partially Furnished,,24 months,Spring @ Katong,3 Baths,3 Beds,,S$2.51 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/spring-katong-condo-qaU5aUAs6jETRkWyR7rCH3
"City View,Jacuzzi,Aircon,Lap Pool,Washer,Fibre Ready,Gym,Fridge,Balcony",904 sqft (built up),"Kick back, relax and connect at the 25th floor Sky Terrace, with Orchard Road as your backdrop. Lifestyle facilities designed to inspire interaction; mix up your activities at the dining pod, massage pod and fitness pod.
The Scotts Tower offers ceiling height of up to 3.35m and private lift access for selected units.

== The Scotts Tower ==

Scotts Road / Orchard Road Condominium Unit for Rent 
============================
*Fully furnished with Air-Con
*High floor with unblock view
*Spacious & Modern design
*Prime Centralise Location
*Full Condominium Facilities 

√ Mins walk to Newton MRT Station !

√ Unbeatable location near Orchard Road, offering many retail outlets, supermarkets, restaurants & eating establishments, banks, cinemas & numerous entertainment facilities

√ Short stroll to Far East Plaza, Pacific Plaza, International Building, Tangs Plaza, Shaw House, Lucky Plaza, Wisma Atria, Palais Renaissance, Orchard Towers and Paragon. 

√ Move-in immediately
============================
Available for Viewing now!
Please contact (Call/SMS/WhatsApp) Jomie Low @ +65 9653 0901
",D09,All races welcome,,,,,12 months,The Scotts Tower,2 Baths,2 Beds,,S$7.19 psf,"S$6,500/mo",https://www.99.co/singapore/rent/property/the-scotts-tower-condo-gz2286Q86LnUR667kKdMLj
"Clubhouse,Function Room,Water Feature,High Ceiling,Walk In Closet,Sea View,Oven,Outdoor Dining,Balcony,City View,Renovated,Closet,Swimming Pool,Lounge,Playground,Washer,Fibre Ready,BBQ,Loft,Gym,Fridge,Dual Key,Dryer,Jet Pool,Yoga Corner,Aircon,Bed,Viewing Deck,Mini Golf Range,Jacuzzi,Fitness Corner,High Floor,Reflexology Path",670 sqft (built up),"City Gate
-------------------------------------------------
2-Bedrooms Unit for RENT 670 sqft
Brand New! Be the First Tenant! 
Unblocked View
Bright & Windy
WiFi + Utilities Included!
Choose Between Furnished or Non-Furnished
Move-In Condition. Just Bring Your Luggage.

City Gate Shoppes at your Doorstep
2 Minutes Walk to Nicoll Highway MRT 
5 Minutes Walk to Lavender MRT
Steps to Famous Food Centre, Eateries and Bars
Proximity to CBD & City Centre 
Amenities, Groceries, Convenience Within Reach

Many Units on Hand! One Call View ALL! 
Call/Sms GALVIN PANG 9751-0832 to appreciate!",D07,All races welcome,,,,Yes,Flexible,City Gate,1 Bath,2 Beds,,S$5.07 psf,"S$3,400/mo",https://www.99.co/singapore/rent/property/city-gate-condo-C4EHSXPQs4uJjmFDML6ahn
"Bomb Shelter,Security,Aircon,Closet,Stove,Fridge,Swimming Pool,Jacuzzi,Study Room,Parking,Mid Floor,Washer,Gym,Balcony",527 sqft (built up),"

D10 is a 1+Study unit and a good size unit and in higher level.

> Infinity Pool
> Gym 
> Most desirable location
> in core central regional
> With nice balcony space
> Great World City Shopping Mall (350m)
> Bus stop at door steps
> Takashimaya Shopping Centre is 4stops away
    (Bus No.14)
> mins to Orchard Road Shopping belt
> nice and private environment 


Available in January 2019
Call Lesley @ 9633 7799

",D10,,,,,,24 months,Rv Suites,1 Bath,1 Bed,,S$5.31 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/rv-suites-condo-QsWtxQkQLzhrpusdZasXGj
"Tennis Court,Security,Closet,Aircon,Stove,Fridge,Sauna,Swimming Pool,Utility Room,Jacuzzi,Playground,Fitness Corner,Parking,High Floor,Washer,Bathtub,Gym,BBQ,Basketball Court","1,625 sqft (built up)","Luxury layout of the 3+1 unit at strategic location.
Fully furnished is possible.

Core Centre Region is for those appreciate city lifestyle.

With the finest shopping, dining and entertainment options just a short walk away, Orchard Scotts Residences brings Singapore’s cosmopolitan side right to your doorstep. Set in 2.5 hectares of beautifully sculpted gardens with wide open spaces and pools, this serviced apartment gives you sanctuary from the city as well when you feel the need to unwind.

Being the 1st winner in the Residential Category at the 2009 FIABCI Prix d’Excellence Awards which is widely recognized as the highest honour in international real estate, Orchard Scotts Residences has set the benchmark for luxury serviced apartments.

",D09,All races welcome,,,Partially Furnished,,24 months,Orchard Scotts,3 Baths,3 Beds,Allowed,S$5.35 psf,"S$8,700/mo",https://www.99.co/singapore/rent/property/orchard-scotts-condo-V5gmhd5B6jC94qGbwtKHRR
"Aircon,Closet,Stove,Fridge,Swimming Pool,Squash Court,Tennis Court,Oven,Parking,High Floor,Washer,Security",990 sqft (built up),"Minutes walk to
-Velocity & Square 2 Malls
-Novena MRT (Red Line)
-Orchard Shopping Belt
-Newton Famous Food Centre 
By MRT
-Toa Payoh > Garden, Safra Sport Centre, Food Centre
-Little India > Taste of India, Mustafa, Hospital",D11,All races welcome,,,Partially Furnished,,24 months,Pastoral View,3 Baths,2 Beds,,S$3.23 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/pastoral-view-condo-8cUfWPjVvWEsTjXvjU8LtS
"Clubhouse,Security,Renovated,Aircon,TV,Greenery View,Fridge,Swimming Pool,Dryer,Tennis Court,Parking,High Floor,Squash Court,Stove,Closet","1,238 sqft (built up)","Partially furnished.  
Spacious bedrooms with direct access to bathroom.  
A well kept unit.  
High floor with unblocked view.
Resort style living.  
Quiet and serene environment. 
Shuttle bus available to AMK and YCK MRT station.
Available immediately.  
For more information or viewing arrangements, 
please call Yen at 9109-1953",,,,,Partially Furnished,Yes,24 months,Grande Vista,2 Baths,3 Beds,,S$2.02 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/grande-vista-condo-9tXDPNokwSuVjfUibxH2Z
"Clubhouse,City View,Security,Aircon,Closet,High Ceiling,Gym,Fridge,Bed,Walk In Closet,Swimming Pool,Utility Room,Spa Pool,Playground,Oven,Parking,High Floor,Washer,Fibre Ready,Wading Pool,BBQ",657 sqft (built up),"Fresh off the oven!

For Lease
Gloucester Mansions 
One bedroom (657sf)
Enclosed kitchen with yard 
Bright & breezy
Ask 2.8k

Walk to Newton MRT, Novena Square, United Square, Orchard Road. 
Close to CBD, Shenton & Marina Bay Financial Centre

For an exclusive viewing, please call Joanna at 91080987",D11,,South,,Partially Furnished,,24 months,Gloucester Mansions,1 Bath,1 Bed,Not Allowed,S$4.26 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/gloucester-mansions-condo-JEXi5TxK6pUH5k8oQWPzvD
"Clubhouse,Stove,Fridge,Dryer,Steam Room,Oven,Parking,Mid Floor,Security,Balcony,City View,Fibre Ready,Aircon,Closet,Pool Deck,Wading Pool,Jacuzzi,Playground,Washer,Bathtub,Lap Pool,Gym,Hydrotherapy Pool","1,217 sqft (built up)","** Bay View 2-Bedroom Premium Stack For Rent! **

* Full bay view
* Premium stack
* Well-maintained unit
* Amazing spacious & efficient layout
* Walk to Raffles Place or Marina Bay MRT stations
* Convenient location surrounded by amenities
* Available end October 2018

Contact me to Enquire or Arrange Viewing!

Ken Wee
(+65) 97111924
PropNex
Associate Group Director
kenweeproperty.com",D01,All races welcome,North,,Partially Furnished,,24 months,Marina Bay Residences,2 Baths,2 Beds,Allowed,S$6.08 psf,"S$7,400/mo",https://www.99.co/singapore/rent/property/marina-bay-residences-condo-oJLKKW9A9SdQDU2nDZ7FYK
"Function Room,Stove,Fridge,Walk In Closet,Dryer,Steam Room,Oven,Balcony,Fibre Ready,Renovated,Closet,Swimming Pool,Maid Room,Pool Deck,Wading Pool,Aircon,Utility Room,Jacuzzi,Washer,Bathtub,Gym,BBQ","1,733 sqft (built up)","Beautiful Brand New 3 Bedroom Apartment For Lease

* Pictures are of actual units (unless stated)
* Private Lift Unit
* Available Immediately
* Brand New Designer Development
* Be The First To Move-In
* Low Density (Just 76 Units) Exclusive Development
* Serenity Within The Vibrant City
* Great Central Location
* Walk to Somerset MRT and Orchard Road
* 24-Hours Supermarket, Food, Retail Shops, Fort Canning Park & Reservoir, etc., All Nearby

* Currently Available For Rent:
1 Bedroom High Ceiling (Last)
2 Bedroom + Study
3 Bedroom
3 Bedroom Loft

* Facilities Available
➢ Resident’s Concierge
➢ Swimming Pool
➢ Children Pool
➢ Gymnasium
➢ Function Room
➢ Jacuzzi Pool
➢ Steam Room
➢ BBQ
➢ Pool Beds Cabana
➢ Cabana 

For Viewing Or Enquiries,

Ken Wee
Associate Group Director
PropNex
+65 97111924
kenweeproperty.com",D09,All races welcome,,,Partially Furnished,,24 months,Lloyd Sixtyfive,3 Baths,3 Beds,Allowed,S$6.23 psf,"S$10,800/mo",https://www.99.co/singapore/rent/property/lloyd-sixtyfive-condo-quwru5sNhdGVJpwGVV8btk
"Penthouse,Roof Terrace,Aircon,Stove,Duplex / Maisonette,Fridge,Utility Room,Playground,Parking,High Floor,Washer,Security,BBQ","3,572 sqft (built up)","Parkway View is just 2 mins walk to Parkway Parade shopping centre.

~ Short walk to Katong V, Parkway Parade shopping centre and I12 Katong
~ Near Canadian International School (Tanjong Katong) and Chatsworth International School (East)
~ Easy access to East Coast Parkway (ECP)
~ Residents of Parkway View enjoy complimentary usage of the gym & swimming pool at Village Hotel Katong (subject to terms).

Facilities
~ Playground
~ Portable BBQ Grill

Available for Lease: 5-bedroom Duplex Penthouse with roof terrace
~ Partially furnished
~ 5 bedrooms
~ 5 bathrooms (3 attached, 1 common, 1 yard)
~ Utility room
~ Roof terrace
~ 3572 sqft approx
~ Available for immediate move-in
~ Asking $7500/mth cloudflare

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D15,All races welcome,,,Partially Furnished,,Flexible,Parkway View,5 Baths,5 Beds,Allowed,S$2.10 psf,"S$7,500/mo",https://www.99.co/singapore/rent/property/parkway-view-condo-5CdXkapZBX8y6vDowyWRdg
"Closet,Aircon,Stove,Fridge,Swimming Pool,Utility Room,Playground,Parking,Mid Floor,Washer,Security,BBQ","1,238 sqft (built up)","Royal Palm Mansions is situated in a tranquil residential enclave along Pasir Panjang Road.

Royal Palm Mansions is close to several lifestyle amenities such as parks, country clubs, food centres and shopping malls.

Residents enjoy excellent accessibility to the city and Orchard Road via the Ayer Rajah Expressway and the West Coast Highway. 

This exclusive low-density development has been designed with a beautiful courtyard complete with a swimming pool.

~ Walking distance to Haw Par Villa MRT Station
~ Mins’ drive to The Japanese School Singapore
~ Mins’ drive to National University Hospital and Singapore Science Park
~ Close to West Coast Park and Kent Ridge Park
~ Near Ayer Rajah Expressway and West Coast Highway

Facilities
~ Children’s Playground
~ Swimming Pool

Available for Lease: 3-bedroom condo
~ Partial furnished
~ 3 bedrooms
~ 3 bathrooms (1 attached, 1 common, 1 yard)
~ Utility room
~ 1238 sqft approx
~ Available mid-Sep
~ Asking $3850/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings @ https://www.SGrentals.com",D05,All races welcome,,,Partially Furnished,,Flexible,Royal Palm Mansions,3 Baths,3 Beds,Allowed,S$3.11 psf,"S$3,850/mo",https://www.99.co/singapore/rent/property/royal-palm-mansions-condo-imKaLMLutqPxUh9kEqpd4U
"Penthouse,Security,Roof Terrace,Closet,Stove,Fridge,Jacuzzi,Aircon,Utility Room,Sea View,Playground,Fitness Corner,Parking,High Floor,Washer,Wading Pool,Lap Pool,Gym,Tennis Court","4,962 sqft (built up)","Silversea is situated on the eastern shoreline with unblocked views of the sea. Residents are greeted by sunrises, coupled with the alluring calm of the sea breeze every morning.

Silversea presents an unparalleled suite of recreational facilities – from dining and spa spaces on the 11th floor Sky Promenade to themed villas and pavilions interspersed within the development.

The penthouses at Silversea offer beautiful sea views and for added luxury of ambiance and space, some units feature double volume living rooms. Each penthouse is thoughtfully designed with en-suite bathrooms, a spacious roof terrace, a private lift, and the finest finishes and fittings.

~ Near upcoming Marine Parade MRT Station
~ Min’s walk to East Coast Beach
~ Walking distance to Parkway Parade Shopping Centre and I12 Katong
~ Mins’ drive to Changi International Airport

Facilities
~ 50m Pool
~ Heated Jacuzzi
~ Themed Cabanas
~ Balinese Spa Villa
~ Japanese Onsen Villa
~ Themed Dining Pavilions
~ Gym
~ Tennis Court

Available for Lease: 4-bedroom penthouse
~ Partially furnished
~ 4 bedrooms
~ 5 bathrooms (3 attached, 1 powder, 1 yard)
~ Utility room
~ 4962 sqft approx
~ Available early Aug
~ Asking $15,900/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D15,All races welcome,,,Partially Furnished,,Flexible,Silversea,5 Baths,4 Beds,Allowed,S$3.20 psf,"S$15,900/mo",https://www.99.co/singapore/rent/property/silversea-condo-J2LaDbp4HZjqHtYzn2T2n6
"Stove,Fridge,Walk In Closet,Dryer,Oven,Patio / PES,Renovated,Closet,Maid Room,Sofa,Greenery View,Bed,Aircon,Utility Room,Study Room,TV,Dining Room Furniture,Washer,Fibre Ready","2,400 sqft (built up)","Beautiful Designer Terrace House In D09 For Rent!

* Furnished, Move-In Immediately
* 2 Storey Terrace House
* 3 Bedrooms + Study & 2 Bathrooms
* Garden & Parking Lot
* Designer Modern Concept
* Smart Control System
* Renovated & Well-Maintained
* Close to Town & Amenities
* Near to Newton MRT

Enquire or View Today!

Ken Wee
(+65) 97111924
PropNex
Associate Group Director
kenweeproperty.com

Tags: Cambridge road, truro rd, hertford, bristol, durham, carlisle, shrewsbury, orchard, novena, district 9, 8, 10, 11, d9, d10, d11, d8, beatty, serangoon, petain, race course, raglan grove, sturdee, mackenzie, beng wan, sommerville walk, dunlop street, st, ave 1, upper, chartwell drive, rangoon lane, alnwick, plantation, hiddington, olive, greenwood walk, hillcrest park, watten, shelford, park view, raffles, trevose, orchid village, lornie, barker, andrew, whitley, dyson, cassia, vanda, university, bo seng, greenmead, swiss view, gilstead, jalan bahasa, chancery, linden, westlake, tong watt, one tree hill, kim yam, cairnhill, niven, cable, elok, tupai, nutmeg, kelawar,  saunders, arnap, emerald hill, hullet, bideford, nathan, dublin, Jalan Aruan, jln, makeway avenue, hooper, kampong java",D09,All races welcome,,,Fully Furnished,,24 months,Makepeace Road,2 Baths,3 Beds,Allowed,S$3.24 psf,"S$7,777/mo",https://www.99.co/singapore/rent/property/makepeace-road-landed-3ghjajFXNm6yxL3sHekimf
"Clubhouse,Stove,Fridge,Sauna,Low Floor,Squash Court,Steam Room,Tennis Court,Badminton Court,Parking,Security,Closet,Aircon,Wading Pool,Swimming Pool,Utility Room,Jacuzzi,Playground,Washer,Gym,BBQ","1,324 sqft (built up)","Serenity Park is located in the private residential enclave of Yio Chu Kang, situated on a quiet leafy road.

Serenity Park’s proximity to Greenwich V, Ang Mo Kio (AMK) Hub, as well as charming neighborhood Jalan Kayu, with its row of sundry shops and eateries, provides a variety of retail, dining and entertainment options.

~ Close to Lower Seletar Reservoir Park, Seletar Country Club & Singapore Youth Flying Club
~ Short drive away to Greenwich V, AMK Hub & the charming Jalan Kayu neighbourhood
~ Served by highways TPE, CTE, as well as Yio Chu Kang & Ang Mo Kio MRT stations

Facilities
~ 24-hour Security
~ Clubhouse
~ Tennis Court
~ Barbeque Pits
~ Gym
~ Children’s Playground
~ Swimming Pool

Available for Lease: 3-bedroom unit
~ Partially furnished
~ 3 bedrooms
~ 3 bathrooms (1 attached, 1 common, 1 yard)
~ Utility room
~ 1324 sqft approx
~ Available early August
~ Asking $2,900/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D28,All races welcome,,,Partially Furnished,,Flexible,Serenity Park,3 Baths,3 Beds,Allowed,S$2.19 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/serenity-park-condo-go2eTHZxiSHKiTYqRP6Tib
"Renovated,Aircon,Stove,Fridge,Utility Room,Oven,Washer,Closet","3,100 sqft (built up)","Greenwood Mews offers luxurious landed cluster houses surrounded by tranquility and greenery, with expansive living space for multi-generational families.

~ Distinguished Bukit Timah address
~ Gated community with 24-hour security
~ Suitable for multi-generational families
~ Walking distance to Tan Kah Kee MRT station

Facilities
~ 24-hour Security
~ Children’s Play Area
~ Massage Suite
~ Spa Seats
~ Wading Pool
~ Aqua Gym
~ Saunas
~ Steam Rooms
~ Spa Beds
~ Swimming Pool
~ Dining Cabana
~ BBQ Cabana
~ Gym

Available for Lease: 4-bedroom unit
~ Partial furnished
~ 4 bedrooms
~ 5 bathrooms (1 attached, 3 common, 1 yard)
~ Utility room
~ 3100 sqft approx
~ Available early Aug
~ Asking $9600/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D11,All races welcome,,,Partially Furnished,,Flexible,Greenwood Mews,5 Baths,4 Beds,Allowed,S$3.10 psf,"S$9,600/mo",https://www.99.co/singapore/rent/property/greenwood-avenue-landed-kd9Y6SPqQTn5qX2amvHKKX
"Security,Closet,Aircon,Stove,Fridge,Sauna,Swimming Pool,Wading Pool,Jacuzzi,Steam Room,Parking,Mid Floor,Washer,Gym","1,970 sqft (built up)","Grange 70 condominium offers the privacy of a boutique apartment just minutes' walk from Orchard Road, Singapore’s famous shopping and entertainment belt.

~ 10-15 mins walk to Orchard MRT
~ Complimentary weekday morning shuttle bus service Dhoby Ghaut, City Hall and Raffles Place MRT stations

Residents enjoy a private lift lobby and direct entry to each unit, plus exclusive access to the facilities of nearby Orchard Parksuites, such as swimming pool, tennis courts, gymnasium, jacuzzi, sauna and steam rooms, and BBQ pits.

Available for Lease: 3-bedroom unit

~ Partial furnished
~ 3 bedrooms
~ 4 bathrooms (1 attached, 1 common, 1 powder, 1 yard)
~ 1970 sqft approx
~ Available for immediate move-in
~ Asking $7200/mth negotiable

The time is now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D10,All races welcome,,,Partially Furnished,,Flexible,Grange 70,4 Baths,3 Beds,Allowed,S$3.65 psf,"S$7,200/mo",https://www.99.co/singapore/rent/property/grange-70-condo-oqymbRxZfJKrt9Q6HcFT4M
